link,name,salary,about,region,company,exp,emp_mode
https://krasnoyarsk.hh.ru/vacancy/96127450,"ML Ops (text2image, image2image)",,Революционный AI для маркетплейсов,Москва,Flexy,3–6 лет,"Полная занятость, удаленная работа"
https://krasnoyarsk.hh.ru/vacancy/94698682,Копирайтер,,We are looking for a creative person with experience in creating educational content to join our team.,Москва,Creators International School,3–6 лет,"Полная занятость, полный день"
https://krasnoyarsk.hh.ru/vacancy/96386085,SEO copywriter (english/portuguese),,We are looking for a SEO copywriter!,Москва,Lenkep recruitment,1–3 года,"Полная занятость, удаленная работа"
https://krasnoyarsk.hh.ru/vacancy/95895578,Senior NLP Engineer / ML / LLM / Data Science / AI инженер (удаленно),,"Компания Nexpanse создает мобильные B2C продукты на базе generative AI технологий. Мы ищем опытного NLP/AI инженера, который сможет реализовывать AI сервисы от стадии исследований до выпуска в продакшн.",Москва,Nexpanse,3–6 лет,"Полная занятость, удаленная работа"
https://krasnoyarsk.hh.ru/vacancy/95506174,Content-manager,,,Екатеринбург,Парфюмерно-косметический супермаркет Золотое Яблоко,1–3 года,"Полная занятость, удаленная работа"
https://krasnoyarsk.hh.ru/vacancy/94749035,Аналитик данных / Data Scientist,,Наш продукт - независимая платформа для b2b в содружестве с крупнейшим девелопером ФСКСейчас расширяем команду DSЧто потребуется на этой позиции,,RedCat,1–3 года,"Полная занятость, удаленная работа"
https://krasnoyarsk.hh.ru/vacancy/96496516,Interns Copywriters,,Responsibilities:,Алматы,ТОО Samsung Electronics Central Eurasia LLP.,не требуется,"Стажировка, полный день"
https://krasnoyarsk.hh.ru/vacancy/94964029,Копирайтер,,"Department : Marketing, Communications and Public Relations",,KIMEP,1–3 года,"Полная занятость, полный день"
https://krasnoyarsk.hh.ru/vacancy/96594701,Email Marketing specialist (CRM marketing),,,,ООО Гриндата,1–3 года,"Полная занятость, удаленная работа"
https://krasnoyarsk.hh.ru/vacancy/96195477,Контент-менеджер,,,,ООО Атлон ФМ,1–3 года,"Полная занятость, полный день"
